lp,slowo,liczba
1075,wydarzeniach,6
1076,lewicowej,6
1077,strzelać,6
1078,pistoletu,6
1079,skoczyła,6
1080,chyba,6
1081,napisała,6
1082,pobytu,6
1083,natychmiast,6
1084,pomocą,6
1085,myśli,6
1086,najpewniej,6
1087,próbuje,6
1088,otwarte,6
1089,kierowcy,6
1090,wspomnienia,6
1091,zdjęcie,6
1092,pracuje,6
1093,dziesięciu,6
1094,brał,6
1095,uderza,6
1096,ulice,6
1097,krajowego,6
1098,powiedzieć,6
1099,punkt,6
1100,kolejna,6
1101,podłożył,6
1102,bombę,6
1103,szef,6
1104,wysłał,6
1105,polityków,6
1106,sześć,6
1107,trwa,6
1108,uzbrojony,6
1109,raport,6
1110,klubu,6
1111,prokuratura,6
1112,prawda,6
1113,terrorysty,6
1114,izolacja,6
1115,polak,6
1116,stara,6
1117,osobą,6
1118,wiem,6
1119,ograniczenie,6
1120,zachowania,6
1121,kierowców,6
1122,wpływa,6
1123,dotąd,6
1124,skrzat,6
1125,moim,6
1126,mną,6
1127,festiwal,6
1128,oglądać,6
1129,największy,6
1130,mówiła,6
1131,skrzata,6
1132,wie,6
1133,aktorów,6
1134,praca,6
1135,władzę,6
1136,spotkanie,6
1137,granic,6
1138,próby,6
1139,sprawcy,6
1140,amelka,6
1141,masowego,6
1142,synem,6
1143,ludźmi,6
1144,niemczech,6
1145,nagrodę,6
1146,wyjdzie,6
1147,scenę,6
1148,wsparcia,6
1149,no,6
1150,krzysztofa,6
1151,nr,6
1152,nauczyciele,6
1153,warszawie,6
1154,lutego,6
1155,pracować,6
1156,wyższej,6
1157,wprost,6
1158,trochę,6
1159,najlepiej,6
1160,działalności,6
1161,dniach,6
1162,law,6
1163,momencie,6
1164,jakea,6
1165,decyzja,6
1166,serial,6
1167,odwołać,6
1168,szanse,6
1169,niemal,6
1170,konfederacji,6
1171,największych,6
1172,ubiegłego,6
1173,złotych,6
1174,wzrosła,6
1175,marca,6
1176,rodzina,6
1177,podoba,6
1178,względów,6
1179,akcja,6
1180,spełnia,6
1181,duża,6
1182,instancji,6
1183,konwencji,6
1184,swoimi,6
1185,osadzony,6
1186,popełnił,6
1187,muzułmaskiej,6
1188,ideologii,6
1189,próba,6
1190,prowadził,6
1191,materiałów,6
1192,album,6
1193,samym,6
1194,youtube,6
1195,kościół,6
1196,prawicowej,6
1197,muzykę,6
1198,historię,6
1199,juliusza,6
1200,sofoklesa,6
1201,andrzeja,6
1202,premierę,6
1203,dostępne,6
1204,poinformował,6
1205,zdetonował,6
1206,zdjęcia,6
1207,tekst,6
1208,zdrowy,6
1209,zgody,6
1210,szalony,6
1211,ataków,6
1212,norwegów,6
1213,blisko,6
